name,3_grams_1,3_grams_2,3_grams_3
dependabot[bot],Bump rack from,rack from 2.0.7,from 2.0.7 to
erfankashani,Merge pull request,pull request #4,request #4 from
dependabot[bot],Bump puma from,puma from 3.12.1,from 3.12.1 to
bors,Updating crate `protobuf#2.10.0`,crate `protobuf#2.10.0`,`protobuf#2.10.0`
dependabot[bot],Bump handlebars from,handlebars from 4.1.2,from 4.1.2 to
Kevin Tan,Merge pull request,pull request #2,request #2 from
Mykle,Delete README.md,README.md,
AlanTellezS,123,,
tyler.devtcn@gmail.com,added twitter config,twitter config v1,config v1
himobi,thank you,you,
Taylor Kraft,Automatically backed up,backed up by,up by Learn
Benjamin Russell,Finally fixing that,fixing that broken,that broken test
Talha A,added css support,css support and,support and menu
Talha A,react hooks toggling,hooks toggling,toggling
Talha A,refactored menu hooks,menu hooks,hooks
himobi,thank you,you,
Viktor Plane,More changes to,changes to logging,to logging
Danilo Margarido,"Nope, let's try",let's try 18.10,try 18.10
DST-ftp-root,automated file upload,file upload,upload
jekyllvn,Update footer.html,footer.html,
tyru,add <Plug>(qfloc-sbuffer),<Plug>(qfloc-sbuffer),
Jueliany,.,,
SoftMonster,Remove spider keeper,spider keeper but,keeper but use
SoftMonster,Make a start,a start on,start on the
kt,ensure acctest resource,acctest resource groups,resource groups follow
Logan,Update release.yml,release.yml,
KOLANICH,Initial commit,commit,
WayneMRP,"Dodanie do listy.

|","do listy.

| 2019-11-30","listy.

| 2019-11-30 |"
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-41
WayneMRP,"Dodanie do listy.

|","do listy.

| 2019-12-13","listy.

| 2019-12-13 |"
WayneMRP,Dopisanie do listy,do listy nowego,"listy nowego powodu.

|"
WayneMRP,"Dodanie do listy.

|","do listy.

| 2019-12-20","listy.

| 2019-12-20 |"
WayneMRP,Wpis na listę,na listę Sorun_Bouychau,"listę Sorun_Bouychau 

|"
WayneMRP,"Dodanie do listy.

|","do listy.

| 2019-12-30","listy.

| 2019-12-30 |"
1K2a3m4i,Merge pull request,pull request #64,request #64 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-46
1K2a3m4i,Merge pull request,pull request #69,request #69 from
1K2a3m4i,Merge pull request,pull request #70,request #70 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-48
1K2a3m4i,Merge pull request,pull request #71,request #71 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-49
1K2a3m4i,Merge pull request,pull request #72,request #72 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-51
1K2a3m4i,Merge pull request,pull request #74,request #74 from
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-52
dependabot[bot],Bump mixin-deep from,mixin-deep from 1.3.1,from 1.3.1 to
RohanBhirangi,Merge pull request,pull request #3,request #3 from
Priest502,Delete priest502-gitbrowser.installer-1.1.3.zip,priest502-gitbrowser.installer-1.1.3.zip,
dondontam,update post,post,
himobi,thank you,you,
YvonneHou98,Add files via,"files via upload

resumeUpdate12.31","via upload

resumeUpdate12.31"
PowWow Admin,[Other] Update client,Update client version,client version
Cam Watson,update,,
edhoguntur,setting up Yajra,up Yajra Datatables,Yajra Datatables
Nikita,Updates,,
HSKHTM,Add files via,files via upload,via upload
Menahem Ashurov,Update README.md,README.md,
Jarek Potiuk,[AIRFLOW-6205] The 'airflow,The 'airflow db,'airflow db shell'
Tainoko,commit,,
Zachary Jacobs,Automatically backed up,backed up by,up by Learn
Sithara Jayachandran,Attribute hierarchy |,hierarchy | School,| School
seatacken,working on new,on new counter,new counter functionality
Blandine12,Merge pull request,pull request #24,request #24 from
Nikhil Anand,Buttons!,,
Timothy Castiglia,Syntax error,error,
Emirhan Kaplan,asd,,
himobi,thank you,you,
PowWow Admin,[Connect] Updated connect,Updated connect version,connect version to
dependabot[bot],Bump puma from,puma from 3.12.1,from 3.12.1 to
erfankashani,Merge pull request,pull request #3,request #3 from
char0x602,Update hqat.json,hqat.json,
mambax7,add bootstrap plugin,bootstrap plugin,plugin
mambax7,merge bootstrap plugin,bootstrap plugin,plugin
mambax7,Case mismatch in,mismatch in method,in method call
mambax7,Missing parameter list,parameter list,list
mambax7,PSR12: Missing visibility,Missing visibility,visibility
mambax7,PSR12: var to,var to public,to public
mambax7,Old-Style constructor,constructor,
mambax7,Traditional syntax array,syntax array,array
mambax7,PHPDoc updates,updates,
mambax7,Unnecessary double quotes,double quotes,quotes
mambax7,Yoda,,
mambax7,Alias functions usage,functions usage,usage
mambax7,Type casting,casting,
mambax7,"add PhpPsdReader, updates","PhpPsdReader, updates",updates
mambax7,Unnecessary semicolon,semicolon,
mambax7,Redundant closing tag,closing tag,tag
mambax7,Non-canonical order of,order of elements,of elements
mambax7,Type unsafe comparison,unsafe comparison,comparison
mambax7,fix https,https,
mambax7,code format,format,
Adam,updated info,info,
WayneMRP,Dodanie do listy,"do listy Frank_Statham

|","listy Frank_Statham

| 2019-12-31"
1K2a3m4i,Merge branch 'master',branch 'master' into,'master' into patch-52
1K2a3m4i,Merge pull request,pull request #75,request #75 from
Joshua Lange,Reverted accidental changes,accidental changes to,changes to arch/arm/src/sama5/sam_ethernet.c
Luke,readme,,
Luke,readme,,
Luke,readme,,
juliaslohman,misc cleanup and,cleanup and accessiblity,and accessiblity
Deployment Bot (from Travis CI),Deploy kol.kheang.org to,kol.kheang.org to github.com/kolkheang/kol.kheang.org.git:gh-pages,to github.com/kolkheang/kol.kheang.org.git:gh-pages
gycn,Move label2d drawables,label2d drawables to,drawables to Session
gycn,Fix 2d labeling,2d labeling temporary,labeling temporary labels
gycn,Label 2D Viewer,2D Viewer Tests,"Viewer Tests (#317)

*"
gycn,Fix 2D Labeling,"2D Labeling (#322)

*","Labeling (#322)

* Fix"
Jiangbei Li,2D Label Unlinking,"Label Unlinking (#301)

*","Unlinking (#301)

* begin"
gycn,Add test for,test for changing,for changing selected
gycn,Dynamically Add Panes,"Add Panes (#302)

*","Panes (#302)

* Enable"
gycn,Add basic 3d,basic 3d viewer,3d viewer tests
ChrisP19,fix url (#339),url (#339),(#339)
ChrisP19,save once per,once per action,per action batch
gycn,Render 3d bboxes,3d bboxes with,bboxes with color
gycn,Fix 2d bbox,2d bbox tracking,bbox tracking inversion
Jiangbei Li,"2D Polyline (#329)

*","Polyline (#329)

* Fix","(#329)

* Fix de-select"
gycn,Make sure player,sure player control,player control is
Fisher Yu,remove unnecessary css,unnecessary css import,css import (#356)
Lily Zhang,"Tracking Improvement (#330)

*","Improvement (#330)

* In","(#330)

* In Progress

*"
Jiangbei Li,Polygon Import and,Import and Export,and Export Test
gycn,Double threshold for,threshold for jump,for jump to
gycn,"Anti-alias, rotation marker,","rotation marker, height","marker, height based"
gycn,"More Views (#342)

*","Views (#342)

* Add","(#342)

* Add support"
himobi,thank you,you,
Danilo Margarido,Hopefully 19.04 works,19.04 works,works
javapark1,Changed header to,header to follow,to follow the
Nathan Seidle,Move redundant IOM,redundant IOM setup,IOM setup to
SockPuppetry,Travis CI build,CI build 187080,build 187080
anower00,recent post and,post and trending,and trending post
asdfghy6,'',,
Taylor Kraft,Automatically backed up,backed up by,up by Learn
Adolfo Marinucci,ScrollViewer tests,tests,
Adolfo Marinucci,ScrollViewer soft scrolling,soft scrolling,scrolling
awsm-bot,Updating backups for,backups for 2019-10-03,for 2019-10-03
Bot,update,,
ttrigui,use optimized version,optimized version for,version for convolve
Christopher Degawa,Add define to,define to fix,to fix conflicting
Christopher Degawa,clang-format: Remove unknown,Remove unknown RawStringFormats:,unknown RawStringFormats: delimiter
Christopher Degawa,Prepend static to,static to allowed_tx_set_a,to allowed_tx_set_a in
Christopher Degawa,conflicts: Fix conflicts,Fix conflicts with,conflicts with libaom
himobi,thank you,you,
its-pointless,julia 1.3.1,1.3.1,
Ehron Gwinn,update map values,map values for,values for new
Saket Narayan,Document workaround for,workaround for running,for running of
CarlosCastillo10,Comentando la linea,la linea 32,linea 32 de
johnson chidubem,updated the yr,the yr from,yr from 2019
Art Eschenlauer,fine-tuning documentation,documentation,
Binyamin Z,Automatically backed up,backed up by,up by Learn
donaldsouza,message_2020-01-01T00:41:14,,
himobi,thank you,you,
hedgespin, update,update,
endymion1818,if no search,no search results,search results say
endymion1818,added tag page,tag page,page
endymion1818,category page looks,page looks like,looks like a
Sandeep Amarnath,typo fixed for,fixed for homepage,for homepage
SandeepAmarnath,Update README.md,README.md,
SandeepAmarnath,Update README.md,README.md,
Sandeep Amarnath,basic version of,version of game,of game done
Sandeep Amarnath,erge branch 'master',branch 'master' of,'master' of https://github.com/SandeepAmarnath/Memory-Word-Game
Sandeep Amarnath,fixing UI for,UI for mobile,for mobile 350px
Sandeep Amarnath,fixing UI for,UI for phone,for phone
Sandeep Amarnath,fixed phone UI,phone UI CSS,UI CSS
Sandeep Amarnath,fixed UI,UI,
Sandeep Amarnath,added code for,code for random,for random words
Sandeep Amarnath,fixed typo in,typo in words,in words library
SandeepAmarnath,Merge branch 'master',branch 'master' into,'master' into master
asdfghy6,'',,
Prashant Shrestha,Fetching & parsing,& parsing real,"parsing real title,"
wideyu,iss.sh 01010841,01010841,
Christos Efstathiades,link to porto,to porto added,porto added lol
Egor Tensin,test: add more,add more parser,more parser tests
David Sandberg,#09 Add input,Add input file,input file
David Sandberg,#09 Use int64,Use int64 in,int64 in IntCodeComputer
David Sandberg,#07 Update to,Update to fit,to fit int64
David Sandberg,#05 Update to,Update to fit,to fit int64
David Sandberg,#09 Add GetInstruction,Add GetInstruction func,GetInstruction func to
David Sandberg,#02 Update to,Update to use,to use IntCodeComputer
David Sandberg,#09 Add relativeBase,Add relativeBase functionality,relativeBase functionality to
David Sandberg,#09 Solve first,Solve first problem,first problem
David Sandberg,#09 Solve second,Solve second problem,second problem
daneshchacko,Create index.html,index.html,
Atsushi Watanabe,Fix test input,test input,input
boxmoji,Update Translations,Translations,
Renovate Bot,Update storybook monorepo,storybook monorepo to,monorepo to v5.2.8
zack,/ ‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,2017.md’
AdrianValenciaSantos,Final updates for,updates for mobile,for mobile format.
Taylor Kraft,Automatically backed up,backed up by,up by Learn
Binyamin Z,Automatically backed up,backed up by,up by Learn
himobi,thank you,you,
Gabriela Voll,fully php app,"php app now,","app now, with"
Gabriela Voll,"updated readme, and","readme, and make",and make sure
Marc Ferland,Had to downgrade,to downgrade to,downgrade to node
Marc Ferland,Added env=prod flag,env=prod flag,flag
rimblood,bossDB,,
Jake Witcher,fix type in,type in language-configuration.json,in language-configuration.json of
Binyamin Z,Automatically backed up,backed up by,up by Learn
xiali,增加咨询和评论,,
Cockpituous,images: Update continuous-atomic,"Update continuous-atomic image

Closes","continuous-atomic image

Closes #381"
Mark Chepel,admin ui,ui,
zsxs2,Update data.js,data.js,
Holly Rogers,added text to,text to about,to about me
Holly Rogers,modified imgs and,imgs and deleted,and deleted js
Danilo Margarido,Go back to,back to 18.04,to 18.04 and
Gil Carvalho,Update style.scss,style.scss,
Emine,names added,added,
McSonk,Muestra el nombre,el nombre de,nombre de usuario
McSonk,Deshabilita el inputText,el inputText de,inputText de nombre
Binyamin Z,Automatically backed up,backed up by,up by Learn
Zhenya,Add files via,files via upload,via upload
Noah Emmet,add locations field,locations field,field
Juliano Dorigão,"menu

Signed-off-by: Juliano Dorigão",Juliano Dorigão <jdorigao@gmail.com>,Dorigão <jdorigao@gmail.com>
5john,2020/01/01 00:41:23 ,00:41:23  ,  
Taylor Kraft,Automatically backed up,backed up by,up by Learn
zsxs2,Update data.json,data.json,
wideyu,iss.sh 01010841,01010841,
nukooo,use integer arithmetic,integer arithmetic for,"arithmetic for timestamps

Fixes"
dependabot[bot],Bump loofah from,loofah from 2.2.3,from 2.2.3 to
erfankashani,Merge pull request,pull request #2,request #2 from
Site Autobuilder,Autogenerated site via,site via Github,via Github Actions.
n8wb,add copyright notices,copyright notices,notices
Alex Braun,blob_etl bug fixes,bug fixes,fixes
Cory Lynch,Enable source map,source map for,map for webpack
Cory Lynch,Rename dev ->,dev -> hotloader,-> hotloader
Cory Lynch,Rename app.js ->,app.js -> server.js,-> server.js
Franck Nijhof,Migrate input_* tests,input_* tests from,tests from coroutine
HomeAssistant Azure,[ci skip] Translation,skip] Translation update,Translation update
pull[bot],Merge pull request,pull request #1101,request #1101 from
Jono,add weebot to,weebot to portfolio,to portfolio and
Jono,remove useless mixin,useless mixin and,mixin and update
Jono,Merge branch 'server',branch 'server' of,'server' of github.com:JonoAugustine/portfolio
Jono,made about me,about me smaller,me smaller
Patrik J. Braun,Update README.md,README.md,
BenAlaa,Fix HOC protected,HOC protected Routes,protected Routes
BenAlaa,Close Modal after,Modal after create,after create task
jrdegreeff,better object orientation,object orientation (properties),orientation (properties)
jrdegreeff,arbitrary grid lengths,grid lengths,lengths
mapcat,Update ar.ar011sta.wpt,ar.ar011sta.wpt,
